date,meter_location_en,equipment_name_en,period_std,interval_energy_kwh
2020-11-10,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Peak,1.497794000000203
2020-11-10,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Normal,30.409893000005443
2020-11-10,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Off-peak,16.17148099999929
2020-11-10,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Peak,3.397663999999728
2021-01-01,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Peak,1.3188049999998752
2021-01-01,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Normal,25.031701000021577
2021-01-01,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Off-peak,11.866527999994277
2021-01-01,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Peak,2.7634569999955287
2021-01-02,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Peak,1.6465689999997726
2021-01-02,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Normal,37.423041999970835
2021-01-02,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Off-peak,10.195732000002428
2021-01-02,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Peak,3.128537000007986
2021-01-03,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Peak,0.0
2021-01-03,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Normal,22.68163100000725
2021-01-03,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Off-peak,11.63502099999956
2021-01-03,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Peak,0.0
2021-01-04,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Peak,1.1998530000002303
2021-01-04,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Normal,27.960057999998003
2021-01-04,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Off-peak,13.956081999994721
2021-01-04,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Peak,2.8921249999982734
2021-01-05,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Peak,11543665.374409001
2021-01-05,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Normal,94436762.573411
2021-01-05,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Off-peak,0.5898239999984513
2021-01-05,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Peak,82847787.587617
2021-01-06,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Peak,0.11003199999995451
2021-01-06,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Normal,13.12286499999999
2021-01-06,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Off-peak,10.104040000000467
2021-01-06,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Peak,1.156129000000032
2021-01-07,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Peak,0.37626100000003904
2021-01-07,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Normal,22.58749200000489
2021-01-07,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Off-peak,9.044799999998272
2021-01-07,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Peak,2.4038899999980154
2021-01-08,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Peak,0.39793999999994706
2021-01-08,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Normal,27.518490999998328
2021-01-08,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Off-peak,5.95284499999543
2021-01-08,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Peak,2.3504399999998133
2021-01-09,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Peak,0.9334210000005935
2021-01-09,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Normal,18.4802339999847
2021-01-09,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Off-peak,12.343357000007941
2021-01-09,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Peak,2.9681460000064854
2021-01-10,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Peak,0.0
2021-01-10,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Normal,36.69011399999092
2021-01-10,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Off-peak,10.048689999998752
2021-01-10,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Peak,0.0
2021-01-11,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Peak,0.15351299999999782
2021-01-11,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Normal,26.8883850000141
2021-01-11,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Off-peak,7.8269139999945105
2021-01-11,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Peak,1.5180729999998352
2021-01-12,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Peak,0.15952000000011124
2021-01-12,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Normal,19.9382199999863
2021-01-12,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Off-peak,11.978884999998451
2021-01-12,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Peak,1.5107720000022582
2021-01-13,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Peak,1.1766500000001812
2021-01-13,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Normal,19.203106000006677
2021-01-13,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Off-peak,10.758304999992024
2021-01-13,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Peak,3.207684999996965
2021-01-14,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Peak,0.3960449999999813
2021-01-14,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Normal,18.11422900001508
2021-01-14,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Off-peak,10.860784999995293
2021-01-14,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Peak,1.8156519999976197
2021-01-15,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Peak,0.4266649999995006
2021-01-15,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Normal,21.672378000008752
2021-01-15,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Off-peak,9.101064999998888
2021-01-15,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Peak,1.8403809999995537
2021-01-16,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Peak,0.10497599999999414
2021-01-16,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Normal,25.765620999994315
2021-01-16,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Off-peak,11.456954000000923
2021-01-16,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Peak,0.9310240000004277
2021-01-17,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Peak,0.0
2021-01-17,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Normal,49.60301799999528
2021-01-17,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Off-peak,11.39923300000625
2021-01-17,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Peak,0.0
2021-01-18,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Peak,0.3116199999999085
2021-01-18,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Normal,21.2929259999852
2021-01-18,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Off-peak,7.509060000005523
2021-01-18,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Peak,1.3880890000013517
2021-01-19,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Peak,0.5702559999997737
2021-01-19,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Normal,24.019925000020812
2021-01-19,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Off-peak,3.033703999994758
2021-01-19,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Peak,2.2036449999958005
2021-01-20,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Peak,0.3176499999998934
2021-01-20,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Normal,25.785496999993505
2021-01-20,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Off-peak,12.250930000002711
2021-01-20,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Peak,2.029172000001007
2021-01-21,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Peak,0.5112250000000302
2021-01-21,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Normal,15.485210000002747
2021-01-21,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Off-peak,11.497050000003211
2021-01-21,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Peak,1.8395809999984705
2021-01-28,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Peak,0.5988159999999028
2021-01-28,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Normal,18.759382000011904
2021-01-28,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Off-peak,12.049817000001527
2021-01-28,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Peak,2.3997199999957197
2021-01-29,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Peak,0.3669119999999132
2021-01-29,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Normal,28.786125000014387
2021-01-29,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Off-peak,11.572480000001434
2021-01-29,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Peak,1.8784659999976294
2021-01-30,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Peak,0.630253000000004
2021-01-30,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Normal,24.831877999999794
2021-01-30,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Off-peak,12.503400999999855
2021-01-30,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Peak,2.1481329999980527
2021-01-31,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Peak,0.0
2021-01-31,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Normal,43.117880000001044
2021-01-31,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Off-peak,7.5788500000058105
2021-01-31,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Peak,0.0
2021-02-01,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,Peak,0.6451330000001971
2021-02-01,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Normal,27.261072999993445
2021-02-01,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Off-peak,11.88627700000471
2021-02-01,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,Peak,3.1545540000012773
