date,meter_location_en,equipment_name_en,energy_kwh
2020-11-10,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,1.497794000000203
2020-11-10,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,49.97903800000446
2021-01-01,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,1.3188049999998752
2021-01-01,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,39.661686000011386
2021-01-02,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,1.6465689999997726
2021-01-02,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,50.747310999981245
2021-01-03,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,0.0
2021-01-03,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,34.31665200000681
2021-01-04,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,1.1998530000002303
2021-01-04,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,44.808264999990996
2021-01-05,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,11543665.374409001
2021-01-05,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,177284550.750852
2021-01-06,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,0.11003199999995451
2021-01-06,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,24.38303400000049
2021-01-07,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,0.37626100000003904
2021-01-07,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,34.036182000001176
2021-01-08,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,0.39793999999994706
2021-01-08,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,35.82177599999357
2021-01-09,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,0.9334210000005935
2021-01-09,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,33.79173699999913
2021-01-10,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,0.0
2021-01-10,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,46.73880399998967
2021-01-11,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,0.15351299999999782
2021-01-11,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,36.233372000008444
2021-01-12,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,0.15952000000011124
2021-01-12,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,33.42787699998701
2021-01-13,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,1.1766500000001812
2021-01-13,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,33.16909599999567
2021-01-14,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,0.3960449999999813
2021-01-14,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,30.79066600000799
2021-01-15,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,0.4266649999995006
2021-01-15,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,32.61382400000719
2021-01-16,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,0.10497599999999414
2021-01-16,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,38.15359899999567
2021-01-17,Panel LV11,Đồng hồ đo tổng Electrical panel Chipper,0.0
2021-01-17,Panel LV12,Đồng hồ đo tổng Electrical panel khu vực chế biến dăm,61.002251000001536
